SKU,productName,description,category,subcategory,pricelevel1,colorName,packing,size,image,otherImage,material,availableColours,
HL-105YW,9-1/4 inch Flyer,"9-1/4 inch solid color plastic flyer lets your message soar. Flyer also available in translucent colors, see item HL-90. Made of premium materials  Made in USA.",OUTDOOR & LEISURE,Sports & Fitness,3.1,Yellow,Bulk Packed,235 x 235 mm,HL-105_2019129102842.jpg,"HL-105BL_D.jpeg,HL-105BU_D.jpeg,HL-105GR_D.jpeg,HL-105LM_D.jpeg,HL-105NGR_D.jpeg,HL-105NOR_D.jpeg,HL-105NPK_D.jpeg,HL-105NY_D.jpeg,HL-105OR_D.jpeg,HL-105PP_D.jpeg,HL-105RD_D.jpeg,HL-105TEAL_D.jpeg,HL-105WH_D.jpeg,HL-105YW_D.jpeg,",Low-Density Polyethylene (LDPE),"Black,Blue,Burgundy,Green,Lime Green,Navy Blue,Neon Green,Neon Orange,Neon Pink,Orange,Purple,Red,Teal,White,Yellow",
HL-90AM,9-1/4 Inch Jewel Translucent Flyer,"The 9-1/4 Inch Jewel Translucent Flyer by HumphreyLine is a color flyer that lets your message soar. Made of premium materials that will not shatter or break, in addition to being food-contact safe. Made in the USA. FOB ZIP: KY, 41042",OUTDOOR & LEISURE,Sports & Fitness,3.32,Purple,Bulk,,HL-90AM_2019101585748117.jpg,,Polypropylene,"Blue,Green,Orange,Purple,Red,White",
HL-90DI,9-1/4 Inch Jewel Translucent Flyer,"The 9-1/4 Inch Jewel Translucent Flyer by HumphreyLine is a color flyer that lets your message soar. Made of premium materials that will not shatter or break, in addition to being food-contact safe. Made in the USA. FOB ZIP: KY, 41042",OUTDOOR & LEISURE,Sports & Fitness,3.32,White,Bulk,,HL-90DI_2019101585821539.jpg,,Polypropylene,"Blue,Green,Orange,Purple,Red,White",
HL-90EM,9-1/4 Inch Jewel Translucent Flyer,"The 9-1/4 Inch Jewel Translucent Flyer by HumphreyLine is a color flyer that lets your message soar. Made of premium materials that will not shatter or break, in addition to being food-contact safe. Made in the USA. FOB ZIP: KY, 41042",OUTDOOR & LEISURE,Sports & Fitness,3.32,Green,Bulk,,HL-90EM_2019101585822711.jpg,,Polypropylene,"Blue,Green,Orange,Purple,Red,White",
HL-90RU,9-1/4 Inch Jewel Translucent Flyer,"The 9-1/4 Inch Jewel Translucent Flyer by HumphreyLine is a color flyer that lets your message soar. Made of premium materials that will not shatter or break, in addition to being food-contact safe. Made in the USA. FOB ZIP: KY, 41042",OUTDOOR & LEISURE,Sports & Fitness,3.32,Red,Bulk,,HL-90RU_2019101585823929.jpg,,Polypropylene,"Blue,Green,Orange,Purple,Red,White",
HL-90SA,9-1/4 Inch Jewel Translucent Flyer,"The 9-1/4 Inch Jewel Translucent Flyer by HumphreyLine is a color flyer that lets your message soar. Made of premium materials that will not shatter or break, in addition to being food-contact safe. Made in the USA. FOB ZIP: KY, 41042",OUTDOOR & LEISURE,Sports & Fitness,3.32,Blue,Bulk,,HL-90SA_2019101585825132.jpg,,Polypropylene,"Blue,Green,Orange,Purple,Red,White",
HL-90TG,9-1/4 Inch Jewel Translucent Flyer,"The 9-1/4 Inch Jewel Translucent Flyer by HumphreyLine is a color flyer that lets your message soar. Made of premium materials that will not shatter or break, in addition to being food-contact safe. Made in the USA. FOB ZIP: KY, 41042",OUTDOOR & LEISURE,Sports & Fitness,3.32,Orange,Bulk,,HL-90TG_2019101585826414.jpg,,Polypropylene,"Blue,Green,Orange,Purple,Red,White",
HL-95AM,5-Inch Jewel Translucent Flyer,"The 5-Inch Jewel Translucent Flyer by HumphreyLine is a color flyer that lets your message soar. Also available in solid colors, see item HL-30. Made in the USA. FOB ZIP: KY, 41042",OUTDOOR & LEISURE,Sports & Fitness,1.53,Purple,Bulk,,HL-95AM_2019101585944945.jpg,"HL-95RU_2019101585949711.jpg,",Polypropylene,"Blue,Green,Orange,Purple,Red,White",
HL-95DI,5-Inch Jewel Translucent Flyer,"The 5-Inch Jewel Translucent Flyer by HumphreyLine is a color flyer that lets your message soar. Also available in solid colors, see item HL-30. Made in the USA. FOB ZIP: KY, 41042",OUTDOOR & LEISURE,Sports & Fitness,1.53,White,Bulk,,HL-95DI_201910158594686.jpg,"HL-95RU_2019101585949711.jpg,",Polypropylene,"Blue,Green,Orange,Purple,Red,White",
HL-95EM,5-Inch Jewel Translucent Flyer,"The 5-Inch Jewel Translucent Flyer by HumphreyLine is a color flyer that lets your message soar. Also available in solid colors, see item HL-30. Made in the USA. FOB ZIP: KY, 41042",OUTDOOR & LEISURE,Sports & Fitness,1.53,Green,Bulk,,HL-95EM_2019101585947320.jpg,"HL-95RU_2019101585949711.jpg,",Polypropylene,"Blue,Green,Orange,Purple,Red,White",
HL-95RU,5-Inch Jewel Translucent Flyer,"The 5-Inch Jewel Translucent Flyer by HumphreyLine is a color flyer that lets your message soar. Also available in solid colors, see item HL-30. Made in the USA. FOB ZIP: KY, 41042",OUTDOOR & LEISURE,Sports & Fitness,1.53,Red,Bulk,,HL-95RU_2019101585948507.jpg,"HL-95RU_2019101585949711.jpg,",Polypropylene,"Blue,Green,Orange,Purple,Red,White",
HL-95SA,5-Inch Jewel Translucent Flyer,"The 5-Inch Jewel Translucent Flyer by HumphreyLine is a color flyer that lets your message soar. Also available in solid colors, see item HL-30. Made in the USA. FOB ZIP: KY, 41042",OUTDOOR & LEISURE,Sports & Fitness,1.53,Blue,Bulk,,HL-95SA_2019101585950273.jpg,"HL-95RU_2019101585949711.jpg,",Polypropylene,"Blue,Green,Orange,Purple,Red,White",
HL-95TG,5-Inch Jewel Translucent Flyer,"The 5-Inch Jewel Translucent Flyer by HumphreyLine is a color flyer that lets your message soar. Also available in solid colors, see item HL-30. Made in the USA. FOB ZIP: KY, 41042",OUTDOOR & LEISURE,Sports & Fitness,1.53,Orange,Bulk,,HL-95TG_2019101585951476.jpg,"HL-95RU_2019101585949711.jpg,",Polypropylene,"Blue,Green,Orange,Purple,Red,White",
HL-97AM,7-1/4 Inch Jewel Translucent Flyer,"The 7-1/4 Inch Jewel Translucent Flyer by HumphreyLine is a translucent flyer that lets your message soar. Made of premium materials that will not shatter or break, in addition to being food-contact safe. Made in the USA. FOB ZIP: KY, 41042",OUTDOOR & LEISURE,Sports & Fitness,2.21,Purple,Bulk,,HL-97AM_2019101591514257.jpg,,Polypropylene,"Blue,Green,Orange,Purple,Red,White",
HL-97DI,7-1/4 Inch Jewel Translucent Flyer,"The 7-1/4 Inch Jewel Translucent Flyer by HumphreyLine is a translucent flyer that lets your message soar. Made of premium materials that will not shatter or break, in addition to being food-contact safe. Made in the USA. FOB ZIP: KY, 41042",OUTDOOR & LEISURE,Sports & Fitness,2.21,White,Bulk,,HL-97DI_2019101591515398.jpg,,Polypropylene,"Blue,Green,Orange,Purple,Red,White",
HL-97EM,7-1/4 Inch Jewel Translucent Flyer,"The 7-1/4 Inch Jewel Translucent Flyer by HumphreyLine is a translucent flyer that lets your message soar. Made of premium materials that will not shatter or break, in addition to being food-contact safe. Made in the USA. FOB ZIP: KY, 41042",OUTDOOR & LEISURE,Sports & Fitness,2.21,Green,Bulk,,HL-97EM_2019101591517242.jpg,,Polypropylene,"Blue,Green,Orange,Purple,Red,White",
HL-97RU,7-1/4 Inch Jewel Translucent Flyer,"The 7-1/4 Inch Jewel Translucent Flyer by HumphreyLine is a translucent flyer that lets your message soar. Made of premium materials that will not shatter or break, in addition to being food-contact safe. Made in the USA. FOB ZIP: KY, 41042",OUTDOOR & LEISURE,Sports & Fitness,2.21,Red,Bulk,,HL-97RU_2019101591518507.jpg,,Polypropylene,"Blue,Green,Orange,Purple,Red,White",
HL-97SA,7-1/4 Inch Jewel Translucent Flyer,"The 7-1/4 Inch Jewel Translucent Flyer by HumphreyLine is a translucent flyer that lets your message soar. Made of premium materials that will not shatter or break, in addition to being food-contact safe. Made in the USA. FOB ZIP: KY, 41042",OUTDOOR & LEISURE,Sports & Fitness,2.21,Blue,Bulk,,HL-97SA_2019101591519679.jpg,,Polypropylene,"Blue,Green,Orange,Purple,Red,White",
HL-97TG,7-1/4 Inch Jewel Translucent Flyer,"The 7-1/4 Inch Jewel Translucent Flyer by HumphreyLine is a translucent flyer that lets your message soar. Made of premium materials that will not shatter or break, in addition to being food-contact safe. Made in the USA. FOB ZIP: KY, 41042",OUTDOOR & LEISURE,Sports & Fitness,2.21,Orange,Bulk,,HL-97TG_2019101591520882.jpg,,Polypropylene,"Blue,Green,Orange,Purple,Red,White",
SM-7609GY,Running Arm Band,"Silicone phone holder with adjustable, hook and loop closed arm strap.  Additional hook and loop to bind the cord of your earbuds or headphones.",OUTDOOR & LEISURE,Sports & Fitness,4.55,Grey,Bulk Packed,127 x 59.9 mm,SM-7609GY_B.jpeg,"SM-7609GY_B.jpeg,SM-7609GY_D.jpeg,SM-7609RD_A-1.jpeg,SM-7609RD_B-2.jpeg,SM-7609RD_B.jpeg,SM-7609RD_D.jpeg,",Silicone,"Black,Gray,Red,Royal Blue",
SM-7609RD,Running Arm Band,"Silicone phone holder with adjustable, hook and loop closed arm strap.  Additional hook and loop to bind the cord of your earbuds or headphones.",OUTDOOR & LEISURE,Sports & Fitness,4.55,Red,Bulk Packed,127 x 59.9 mm,SM-7609RD_B.jpeg,"SM-7609GY_B.jpeg,SM-7609GY_D.jpeg,SM-7609RD_A-1.jpeg,SM-7609RD_B-2.jpeg,SM-7609RD_B.jpeg,SM-7609RD_D.jpeg,",Silicone,"Black,Gray,Red,Royal Blue",
SM-7623BK,Cooling Heathered Wrist Band with Pocket,The cool breathable material dual storage areas and trendy heathered pattern makes this band perfect for any activity and event.,OUTDOOR & LEISURE,Sports & Fitness,5.69,Black,Bulk,"4.133"""""""" H X 5.71"""""""" W",SM-7623BK_202057161715360.jpg,,Polyester,"Black,Blue,Red",
SM-7623BL,Cooling Heathered Wrist Band with Pocket,The cool breathable material dual storage areas and trendy heathered pattern makes this band perfect for any activity and event.,OUTDOOR & LEISURE,Sports & Fitness,5.69,Blue,Bulk,"4.133"""""""" H X 5.71"""""""" W",SM-7623BL_20205716171863.jpg,,Polyester,"Black,Blue,Red",
SM-7623RD,Cooling Heathered Wrist Band with Pocket,The cool breathable material dual storage areas and trendy heathered pattern makes this band perfect for any activity and event.,OUTDOOR & LEISURE,Sports & Fitness,5.69,Red,Bulk,"4.133"""""""" H X 5.71"""""""" W",SM-7623RD_202057161721407.jpg,,Polyester,"Black,Blue,Red",
SM-7628BK,Squat Wrist Band with Zipper,"Soft and comfortable polyester wrist band with zippered pocket to store your valuables during fitness, sports or travel.",OUTDOOR & LEISURE,Sports & Fitness,2.49,Black,Bulk Packed,89mm(h) x 102mm(w),SM-7628BK_B-1.jpeg,"SM-7628BK_B-1.jpeg,SM-7628BK_D-1.jpeg,SM-7628LM_A-1.jpeg,SM-7628LM_D-1.jpeg,SM-7628PP_B-1.jpeg,SM-7628PP_D-1.jpeg,SM-7628RD_D-1.jpeg,SM-7628RYL_B-1.jpeg,SM-7628RYL_D-1.jpeg,SM-7628WH_B-1.jpeg,SM-7628WH_D-1.jpeg,SM-7628WH_D-1_GRP.jpeg,",Polyester,"Black,Lime Green,Purple,Red,Royal Blue,White",
